#{"t_start": 1711030212.498167, "env_id": "LunarLander-v2"}
r,l,t
257.417604,319,107.811182
262.208719,327,108.035798
267.86976,317,108.253229
253.026773,253,108.43068
231.911624,285,108.626642
235.862642,301,108.832483
236.407195,371,110.321558
240.232394,343,110.515309
220.635948,375,110.726274
238.191316,343,110.91913
247.334538,350,111.116254
210.424936,481,111.472195
253.395118,300,111.679467
272.083927,318,111.901685
50.079644,237,112.064225
244.932421,274,112.250369
262.03077,340,113.29539
286.422464,364,113.546256
254.731029,314,113.761024
263.072663,285,113.955981
261.970524,336,114.184187
254.279476,361,114.431551
216.463912,312,114.64394
229.836755,294,115.650785
242.896747,270,115.836848
254.597092,313,116.051497
241.172177,324,116.279541
-2.709529,196,116.415866
254.915576,282,116.608696
260.156208,277,116.826687
238.213978,274,117.827036
251.244781,270,118.013612
248.408125,288,118.211178
171.190096,647,118.662802
-5.155834,248,118.832263
260.923435,323,119.052165
229.404846,248,120.034194
211.624723,289,120.23152
258.378766,250,120.401822
286.993382,243,120.568738
232.95233,282,120.760936
302.058277,295,120.962587
250.04376,369,121.21626
237.417116,315,121.457719
240.29471,325,121.639776
238.268832,315,121.814946
15.121854,252,121.95713
256.729481,289,122.118503
231.265034,295,123.135226
286.884241,386,123.401725
292.39256,258,123.579791
7.928927,247,123.747715
267.424593,323,123.969329
264.228007,265,124.14997
247.019865,272,124.33555
194.391194,428,125.436082
228.321352,268,125.622983
251.754929,256,125.79915
303.634458,388,126.06925
222.329172,293,126.273042
272.643568,235,126.433667
280.900098,256,126.610752
191.204366,448,127.721691
266.147712,310,127.935347
264.414102,287,128.132594
254.46427,313,128.346146
298.341925,339,128.586942
276.298556,354,128.840973
242.012892,262,129.8287
241.010522,298,130.034973
6.32696,259,130.21176
275.774067,233,130.369848
250.700682,457,130.689599
253.732748,282,130.885641
-23.484255,156,130.992556
-25.776837,157,131.849509
262.048894,258,132.028759
276.483295,255,132.203254
244.05069,258,132.379916
217.080926,425,132.672631
267.439757,349,132.911362
227.875273,324,133.18205
246.755483,313,133.359048
282.773852,342,133.55169
226.514351,335,133.73934
260.137393,397,133.962936
265.953214,289,134.172946
265.473656,268,135.10473
271.459904,278,135.295934
239.96625,304,135.503793
222.760361,237,135.665198
235.454341,285,135.859365
238.936833,275,136.048947
193.578944,448,136.357471
164.308115,675,137.633791
268.845796,231,137.792142
213.833778,383,138.059529
33.47868,194,138.193996
37.864323,222,138.345449
252.213078,261,138.525692
235.993263,256,139.510702
238.487729,304,139.718209
275.215736,266,139.898992
264.830682,234,140.060406
225.339997,241,140.224484
272.935536,274,140.410598
287.512056,280,140.60323
293.052822,421,141.684694
203.764359,311,141.898044
234.552183,692,142.376571
286.659022,316,142.595828
213.175293,447,142.907223
118.633013,747,144.233504
236.812476,251,144.40448
207.458934,369,144.659412
263.059784,296,144.989186
228.660065,298,145.155633
266.621213,304,145.324378
265.022116,268,145.473348
224.419708,329,145.657381
241.431751,262,145.868912
48.946523,233,146.029004
232.304469,261,147.022068
178.807757,426,147.314778
276.098025,293,147.51613
244.581826,252,147.692595
14.101529,231,147.851709
270.864836,267,148.036802
242.969671,346,148.277211
151.421856,655,149.539905
254.422464,283,149.733464
287.675654,393,150.032638
270.146011,272,150.220494
240.588304,289,150.416968
268.541979,287,151.427642
235.288445,272,151.632431
226.178233,271,151.81867
243.408176,273,152.006714
249.915752,276,152.199199
11.579169,210,152.343634
299.901954,303,152.553257
270.139112,342,152.798384
256.23351,244,153.786885
253.531242,232,153.946875
261.890764,305,154.15726
253.722257,316,154.373386
275.105267,478,154.704325
244.475814,316,154.92019
6.190344,239,155.891608
244.121779,299,156.097409
283.102925,327,156.325476
265.834755,345,156.562423
223.299467,304,156.87304
244.596787,303,157.04215
235.056001,337,157.229746
253.438074,357,157.429403
183.359904,375,157.638382
29.698133,240,157.805406
24.771218,236,157.965613
244.469391,243,158.133508
257.303652,261,159.132348
243.675594,331,159.361217
7.115361,258,159.53904
-7.958362,175,159.659006
261.770715,304,159.868151
226.354553,252,160.042344
249.692525,304,160.253281
236.997603,267,160.437776
279.435927,249,161.418643
275.490898,340,161.652381
255.310225,245,161.818439
252.284643,295,162.019918
41.583307,194,162.153294
235.819247,340,162.386315
228.442264,542,163.575293
-18.437139,192,163.709167
263.68643,264,163.893546
262.304901,268,164.078682
248.538019,258,164.258555
172.163735,508,164.609126
276.158631,237,164.772103
240.801115,251,165.753792
234.962519,241,165.921135
289.799354,275,166.111808
297.304379,321,166.335842
247.242136,249,166.505906
242.30895,474,166.83601
225.935781,375,167.093079
250.90365,276,168.067858
189.959093,448,168.383026
258.860299,294,168.750981
255.586839,331,168.939925
255.262123,322,169.121298
272.456059,304,169.293017
247.652253,362,169.499943
241.340071,248,169.683399
266.899141,276,169.873863
268.496177,238,170.037683
234.876083,286,170.239816
269.145968,267,171.170267
276.181023,293,171.371697
273.820722,279,171.565163
273.214201,315,171.779938
295.699909,340,172.012613
180.914277,507,172.3717
260.697774,279,173.388853
0.743082,195,173.523628
263.117451,228,173.679695
31.293571,228,173.834493
295.021817,343,174.069196
255.325149,250,174.250016
256.04283,271,174.493563
-13.078978,241,174.668137
260.079494,246,175.676982
264.178148,260,175.862496
248.329786,269,176.052886
252.707541,263,176.23994
282.213975,251,176.413915
238.958325,234,176.57518
280.526093,257,176.751595
23.414101,163,176.8651
264.736206,278,177.893834
274.294844,213,178.045689
235.598511,214,178.197513
265.977038,277,178.394815
286.534398,289,178.601628
268.998151,251,178.777656
