#{"t_start": 1710866204.3480694, "env_id": "CartPole-v1"}
r,l,t
164.0,164,18.580446
50.0,50,18.618546
135.0,135,18.720928
300.0,300,18.964421
237.0,237,19.170068
117.0,117,19.260984
393.0,393,19.573294
345.0,345,20.766799
362.0,362,21.053426
290.0,290,21.324346
313.0,313,21.615853
402.0,402,21.927676
150.0,150,22.066602
429.0,429,23.363689
246.0,246,23.557516
193.0,193,23.705268
426.0,426,24.035269
240.0,240,24.216008
230.0,230,24.3848
299.0,299,24.602337
256.0,256,24.773912
490.0,490,25.970855
500.0,500,26.295748
481.0,481,26.614329
500.0,500,26.954433
430.0,430,27.180816
500.0,500,27.444592
500.0,500,27.711531
500.0,500,27.966864
500.0,500,29.125325
500.0,500,29.455088
500.0,500,29.780138
427.0,427,30.06812
119.0,119,30.146085
500.0,500,31.279481
500.0,500,31.609608
500.0,500,31.940643
500.0,500,32.268256
500.0,500,32.600075
500.0,500,33.729873
500.0,500,34.061017
500.0,500,34.388454
500.0,500,34.713362
500.0,500,35.886561
500.0,500,36.214947
500.0,500,36.541107
500.0,500,36.86835
500.0,500,38.073588
449.0,449,38.365794
500.0,500,38.693236
500.0,500,38.951893
500.0,500,39.207683
500.0,500,39.473838
500.0,500,39.728935
500.0,500,39.989982
459.0,459,40.329651
500.0,500,41.596671
500.0,500,41.855576
500.0,500,42.111212
500.0,500,42.367536
500.0,500,42.629717
500.0,500,42.887793
500.0,500,43.142545
500.0,500,43.407254
500.0,500,43.664688
500.0,500,43.941872
