#{"t_start": 1711028711.7222698, "env_id": "LunarLander-v2"}
r,l,t
228.103695,509,2.949389
262.203917,466,3.183957
185.385639,606,3.493481
-53.069147,453,3.731346
206.882539,493,3.996531
241.297415,505,4.261986
195.907847,573,4.555782
205.806454,476,4.797227
221.013196,475,5.041739
164.211457,554,5.328074
