#{"t_start": 1710256061.9553683, "env_id": "CartPole-v1"}
r,l,t
500.0,500,21.332167
500.0,500,49.872165
500.0,500,70.018175
500.0,500,90.16331
500.0,500,110.32081
500.0,500,130.488067
500.0,500,150.671571
500.0,500,170.84542
