#{"t_start": 1709110770.0903513, "env_id": "CartPole-v1"}
r,l,t
213.0,213,21.109489
136.0,136,21.20521
87.0,87,21.270212
100.0,100,21.341609
89.0,89,21.405067
303.0,303,21.628586
166.0,166,21.750891
258.0,258,22.785281
282.0,282,22.981837
312.0,312,23.246186
276.0,276,23.403804
500.0,500,23.69662
402.0,402,23.941381
264.0,264,24.130111
121.0,121,24.242848
333.0,333,24.489283
372.0,372,24.755377
276.0,276,24.951337
154.0,154,25.064388
192.0,192,26.05441
275.0,275,26.252836
208.0,208,26.401126
289.0,289,26.623362
192.0,192,26.762276
237.0,237,26.931888
374.0,374,27.20727
168.0,168,27.32444
283.0,283,28.395228
265.0,265,28.586508
500.0,500,28.947643
238.0,238,29.150558
402.0,402,29.474929
500.0,500,29.860228
500.0,500,30.149837
393.0,393,30.372575
500.0,500,30.654397
500.0,500,30.940643
118.0,118,31.050552
412.0,412,32.250676
272.0,272,32.451291
377.0,377,32.732705
312.0,312,32.959365
500.0,500,33.323926
500.0,500,33.691718
500.0,500,35.008228
77.0,77,35.06277
500.0,500,35.426726
500.0,500,35.785933
458.0,458,36.117599
500.0,500,37.596267
500.0,500,37.896025
500.0,500,38.1755
500.0,500,38.46412
500.0,500,38.758534
500.0,500,39.172298
500.0,500,39.562169
500.0,500,39.917957
500.0,500,41.128567
500.0,500,41.4995
500.0,500,41.895585
500.0,500,42.253762
500.0,500,43.477639
500.0,500,43.85249
500.0,500,44.257815
500.0,500,44.582364
500.0,500,44.865913
500.0,500,45.169213
500.0,500,45.4586
500.0,500,45.751886
500.0,500,46.148045
500.0,500,47.446287
500.0,500,47.7328
500.0,500,48.033173
500.0,500,48.314202
500.0,500,48.590502
500.0,500,48.885065
500.0,500,49.205271
500.0,500,49.541698
500.0,500,49.819025
500.0,500,50.108762
